Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
25.08.,Collignon R.,3,,,,,,6,5,54%,75% (38/51),61% (27/44),83% (5/6),27% (15/55),55% (28/51),36% (4/11),30,21,63% (5/8),68% (65/95),41% (43/106),54% (108/201),7,0,93% (14/15),27% (4/15),60% (18/30),2036,"['2', '1', '5', '2']","['1', '0']","['5', '4']",[],[],1.94
25.08.,Galan D. E.,0,,,,,,8,6,52%,73% (40/55),45% (23/51),64% (7/11),25% (13/51),39% (17/44),17% (1/6),25,22,58% (11/19),59% (63/106),32% (30/95),46% (93/201),3,0,73% (11/15),7% (1/15),40% (12/30),2059,"['3', '5']",[],[],[],[],1.96
18.08.,Basavareddy N.,2,,,,,,4,7,54%,80% (32/40),59% (20/34),100% (1/1),24% (10/41),64% (16/25),40% (2/5),20,29,92% (11/12),70% (52/74),39% (26/66),56% (78/140),8,0,100% (10/10),20% (2/10),60% (12/20),"['2', '1', '5', '2']",[],[],[],[],1.16
18.08.,Collignon R.,0,,,,,,4,9,62%,76% (31/41),36% (9/25),60% (3/5),20% (8/40),41% (14/34),0% (0/1),13,32,57% (4/7),61% (40/66),30% (22/74),44% (62/140),2,1,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],17.5
09.08.,Skatov T.,2,,,,,,2,9,52%,67% (39/58),50% (27/54),64% (7/11),33% (18/54),47% (20/43),50% (5/10),26,48,63% (5/8),59% (66/112),39% (38/97),50% (104/209),7,0,75% (12/16),31% (5/16),53% (17/32),"['4', '3']","['1', '4', '3', '4', '4', '5']","['6', '5']",[],[],19.0
09.08.,Collignon R.,1,,,,,,6,11,56%,67% (36/54),53% (23/43),50% (5/10),33% (19/58),50% (27/54),36% (4/11),37,44,60% (3/5),61% (59/97),41% (46/112),50% (105/209),3,1,69% (11/16),25% (4/16),47% (15/32),[],"['2', '0', '4', '0', '5', '3', '6', '4']",[],[],[],1.33
08.08.,Collignon R.,2,,,,,,6,3,62%,66% (25/38),61% (14/23),50% (3/6),48% (22/46),56% (14/25),45% (5/11),22,12,50% (1/2),64% (39/61),51% (36/71),57% (75/132),8,0,73% (8/11),50% (5/10),62% (13/21),"['2', '0', '5', '3']","['1', '2', '3', '4', '6', '5']",[],[],[],1.56
08.08.,Reis Da Silva J.,0,,,,,,2,1,65%,52% (24/46),44% (11/25),55% (6/11),34% (13/38),39% (9/23),50% (3/6),25,35,83% (5/6),49% (35/71),36% (22/61),43% (57/132),2,0,50% (5/10),27% (3/11),38% (8/21),"['2', '3']","['2', '0', '3', '1']",[],[],[],18.5
07.08.,Collignon R.,2,,,,,,3,5,54%,79% (27/34),62% (18/29),100% (1/1),39% (15/38),45% (10/22),50% (3/6),29,22,100% (10/10),71% (45/63),42% (25/60),57% (70/123),7,0,100% (10/10),30% (3/10),65% (13/20),"['1', '0', '3', '0']","['6', '5']",[],[],[],1.60
07.08.,Kym J.,0,,,,,,4,2,63%,61% (23/38),55% (12/22),50% (3/6),21% (7/34),38% (11/29),0% (0/1),17,23,63% (10/16),58% (35/60),29% (18/63),43% (53/123),3,2,70% (7/10),0% (0/10),35% (7/20),[],[],[],[],[],2.25
05.08.,Collignon R.,2,,,,,,3,7,55%,74% (31/42),47% (16/34),71% (5/7),26% (10/39),66% (19/29),40% (4/10),13,19,75% (3/4),62% (47/76),43% (29/68),53% (76/144),6,0,82% (9/11),36% (4/11),59% (13/22),"['2', '5', '4', '5', '6', '5']","['3', '2']",[],[],[],1.12
05.08.,Fajta P.,0,,,,,,3,7,57%,74% (29/39),34% (10/29),60% (6/10),26% (11/42),53% (18/34),29% (2/7),27,33,88% (7/8),57% (39/68),38% (29/76),47% (68/144),4,0,64% (7/11),18% (2/11),41% (9/22),"['2', '0', '4', '0']",[],[],[],[],5.55
20.07.,Kopriva V.,2,,,,,,7,3,64%,64% (43/67),43% (16/37),69% (11/16),179 km/h,147 km/h,34% (16/47),60% (21/35),50% (6/12),30,34,22% (2/9),57% (59/104),45% (37/82),52% (96/186),6,0,64% (9/14),43% (6/14),54% (15/28),"['2', '3']","['1', '1', '3', '1', '6', '4']","['3', '1', '4', '2']",[],[],1.82
20.07.,Collignon R.,1,,,,,,6,7,57%,66% (31/47),40% (14/35),50% (6/12),210 km/h,163 km/h,36% (24/67),57% (21/37),31% (5/16),32,42,57% (8/14),55% (45/82),43% (45/104),48% (90/186),4,1,57% (8/14),36% (5/14),46% (13/28),"['2', '0', '5', '3']","['1', '0', '4', '5']","['2', '3']",[],[],2.02
14.07.,Darderi L.,2,,,,,,5,2,60%,67% (37/55),56% (20/36),75% (6/8),34% (18/53),57% (16/28),40% (4/10),30,28,60% (3/5),63% (57/91),42% (34/81),53% (91/172),8,0,83% (10/12),33% (4/12),58% (14/24),"['4', '2', '6', '2']",[],"['4', '2', '6', '2']",[],[],1.40
14.07.,Collignon R.,1,,,,,,5,4,65%,66% (35/53),43% (12/28),60% (6/10),33% (18/55),44% (16/36),25% (2/8),28,27,89% (16/18),58% (47/81),37% (34/91),47% (81/172),2,0,67% (8/12),17% (2/12),42% (10/24),[],"['1', '0', '4', '1']",[],[],[],2.98
10.07.,Cerundolo J. M.,2,,,,,,4,0,63%,72% (36/50),53% (16/30),0% (0/4),36% (20/55),57% (25/44),42% (5/12),65% (52/80),45% (45/99),54% (97/179),5,0,73% (11/15),36% (5/14),55% (16/29),"['2', '4']","['3', '1', '5', '3']","['1', '0', '2', '1']",[],[],1.68
10.07.,Collignon R.,1,,,,,,1,5,56%,64% (35/55),43% (19/44),58% (7/12),28% (14/50),47% (14/30),100% (4/4),55% (54/99),35% (28/80),46% (82/179),5,0,64% (9/14),27% (4/15),45% (13/29),"['1', '0', '3', '0']","['2', '3']","['1', '1']",[],[],2.11
09.07.,Collignon R.,2,,,,,,4,3,64%,79% (37/47),58% (15/26),33% (1/3),26% (12/47),59% (13/22),67% (4/6),71% (52/73),36% (25/69),54% (77/142),8,0,86% (12/14),31% (4/13),59% (16/27),[],"['3', '3', '6', '4']","['2', '0', '5', '1']",[],[],1.17
09.07.,Houkes M.,1,,,,,,0,1,68%,74% (35/47),41% (9/22),33% (2/6),21% (10/47),42% (11/26),67% (2/3),64% (44/69),29% (21/73),46% (65/142),2,0,69% (9/13),14% (2/14),41% (11/27),"['2', '1']","['3', '2']",[],[],[],5.02
08.07.,Collignon R.,2,,,,,,4,4,63%,76% (28/37),55% (12/22),75% (3/4),37% (13/35),59% (17/29),36% (4/11),68% (40/59),47% (30/64),57% (70/123),5,0,90% (9/10),40% (4/10),65% (13/20),"['4', '5', '6', '5']","['2', '1', '4', '1']",[],[],[],1.38
08.07.,Gombos N.,0,,,,,,0,1,55%,63% (22/35),41% (12/29),64% (7/11),24% (9/37),45% (10/22),25% (1/4),53% (34/64),32% (19/59),43% (53/123),5,2,60% (6/10),10% (1/10),35% (7/20),"['2', '0']",[],[],[],[],2.90
01.07.,Cilic M.,3,,,,,,16,0,59%,84% (37/44),58% (18/31),75% (3/4),31% (18/58),61% (17/28),38% (5/13),33,22,62% (8/13),73% (56/77),41% (35/85),56% (91/162),8,0,93% (13/14),36% (5/14),64% (18/28),1837,"['4', '2']","['3', '2']","['2', '1', '3', '2', '6', '3']",[],[],1.11
01.07.,Collignon R.,0,,,,,,12,9,67%,67% (39/58),39% (11/28),62% (8/13),16% (7/44),42% (13/31),25% (1/4),21,25,100% (3/3),59% (50/85),27% (21/77),44% (71/162),2,1,64% (9/14),7% (1/14),36% (10/28),2014,[],[],"['2', '2']",[],[],6.70
19.05.,Collignon R.,0,,,,,,2,7,50%,65% (11/17),24% (4/17),40% (2/5),32% (7/22),76% (13/17),60% (3/5),5,14,83% (5/6),44% (15/34),51% (20/39),48% (35/73),2,0,40% (2/5),50% (3/6),45% (5/11),"['2', '3', '3', '4', '5', '4']",[],[],[],[],2.44
19.05.,Nakashima B.,0,,,,,,1,2,56%,68% (15/22),24% (4/17),40% (2/5),35% (6/17),76% (13/17),60% (3/5),13,14,50% (2/4),49% (19/39),56% (19/34),52% (38/73),8,0,50% (3/6),60% (3/5),55% (6/11),"['3', '1', '4', '2', '5', '5']",[],[],[],[],1.57
18.05.,Collignon R.,2,,,,,,4,6,57%,75% (18/24),56% (10/18),33% (1/3),55% (17/31),62% (13/21),86% (6/7),21,16,88% (7/8),67% (28/42),58% (30/52),62% (58/94),8,0,75% (6/8),67% (6/9),71% (12/17),"['1', '0', '3', '0']","['1', '2', '2', '3', '4', '3', '6', '3']",[],[],[],1.05
18.05.,Dutra Da Silva D.,0,,,,,,1,2,60%,45% (14/31),38% (8/21),14% (1/7),25% (6/24),44% (8/18),67% (2/3),9,24,50% (2/4),42% (22/52),33% (14/42),38% (36/94),2,0,33% (3/9),25% (2/8),29% (5/17),[],"['2', '0', '3', '1']",[],[],[],9.89
17.05.,Collignon R.,2,,,,,,5,8,67%,71% (36/51),40% (10/25),79% (11/14),47% (17/36),50% (12/24),57% (4/7),22,32,60% (6/10),61% (46/76),48% (29/60),55% (75/136),7,0,73% (8/11),40% (4/10),57% (12/21),"['1', '1', '3', '1']","['1', '2', '4', '3']",[],[],[],1.08
17.05.,Zahraj P.,0,,,,,,1,3,60%,53% (19/36),50% (12/24),43% (3/7),29% (15/51),60% (15/25),21% (3/14),12,37,64% (7/11),52% (31/60),39% (30/76),45% (61/136),3,0,60% (6/10),27% (3/11),43% (9/21),"['1', '0']","['2', '0', '4', '4']",[],[],[],7.97
05.05.,Moreno De Alboran N.,2,,,,,,3,0,75%,64% (32/50),59% (10/17),60% (3/5),42% (15/36),58% (11/19),67% (4/6),28,29,79% (11/14),63% (42/67),47% (26/55),56% (68/122),7,0,80% (8/10),40% (4/10),60% (12/20),"['1', '0', '4', '3']","['1', '0', '5', '4']",[],[],[],4.02
05.05.,Collignon R.,0,,,,,,4,2,65%,58% (21/36),42% (8/19),33% (2/6),36% (18/50),41% (7/17),40% (2/5),11,16,86% (6/7),53% (29/55),37% (25/67),44% (54/122),3,0,60% (6/10),20% (2/10),40% (8/20),"['1', '1']","['1', '1']",[],[],[],1.22
18.04.,Taberner C.,2,,,,,,0,2,83%,58% (39/67),43% (6/14),44% (4/9),42% (24/57),58% (21/36),50% (5/10),0,2,56% (45/81),48% (45/93),52% (90/174),6,0,58% (7/12),42% (5/12),50% (12/24),"['2', '0', '4', '2', '6', '6']","['4', '3', '6', '5']",[],[],[],3.08
