Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,21/19,17/12,4/7,-,-,-
2024,0/2,-,0/2,-,-,-
2023,6/7,4/3,2/4,-,-,-
2022,15/10,13/9,2/1,-,-,-
