Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,430/251,84/53,280/154,28/24,5/8,33/12
2024,3/3,-,0/2,-,-,3/1
2023,35/11,10/1,17/6,6/3,-,2/1
2022,14/9,2/2,9/4,1/2,-,2/1
2021,13/16,4/4,6/9,1/2,0/1,2/0
2020,1/3,-,1/2,-,-,0/1
2019,34/27,2/3,27/19,4/3,0/1,1/1
2018,24/30,0/4,22/20,0/2,2/2,0/2
2017,33/22,3/6,18/10,4/3,2/3,6/0
2016,53/20,8/2,42/16,-,1/1,2/1
2015,59/23,16/6,36/14,2/1,-,5/2
2014,50/22,32/13,12/7,0/2,-,6/0
2013,39/17,5/5,31/11,-,-,3/1
2012,40/21,1/2,32/13,6/5,-,1/1
2011,30/18,1/3,25/14,4/1,-,-
2010,1/7,0/1,1/6,-,-,-
2009,0/1,0/1,-,-,-,-
2008,1/1,-,1/1,-,-,-
