Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Ostrava (Czech Republic),clay,header
29.04. 13:40,Moller E.,0,3,2,,,,0,5,67%,55% (21/38),26% (5/19),44% (4/9),32% (11/34),38% (8/21),25% (2/8),46% (26/57),35% (19/55),40% (45/112),4,0,38% (3/8),22% (2/9),29% (5/17),[],[],[],[],[],1.36
29.04. 13:40,Karatsev A.,2,6,6,,,,6,1,62%,68% (23/34),62% (13/21),75% (6/8),45% (17/38),74% (14/19),56% (5/9),65% (36/55),54% (31/57),60% (67/112),6,0,78% (7/9),63% (5/8),71% (12/17),[],[],[],[],[],2.99
ATP - SINGLES :  Madrid (Spain),clay,header
24.04. 21:45,Moller E.,0,2,3,,,,0,2,65%,56% (23/41),45% (10/22),69% (9/13),179 km/h,152 km/h,27% (10/37),50% (8/16),0% (0/0),10,28,75% (3/4),52% (33/63),33% (17/52),43% (50/115),2,0,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],3.42
24.04. 21:45,Fonseca J.,2,6,6,,,,5,1,70%,73% (27/37),50% (8/16),0% (0/0),199 km/h,172 km/h,44% (18/41),55% (12/22),31% (4/13),16,26,50% (1/2),67% (35/52),48% (30/63),57% (65/115),8,0,100% (8/8),44% (4/9),71% (12/17),[],[],[],[],[],1.32
ATP - SINGLES :  Madrid (Spain) - Qualification,clay,header
22.04. 21:00,Moller E.,2,5,6,6,,,5,3,58%,72% (41/57),67% (28/42),80% (4/5),22% (14/63),52% (22/42),20% (2/10),53,39,88% (7/8),70% (69/99),34% (36/105),51% (105/204),8,0,94% (15/16),13% (2/16),53% (17/32),[],[],[],[],[],2.31
22.04. 21:00,Majchrzak K.,1,7,4,4,,,10,0,60%,78% (49/63),48% (20/42),80% (8/10),28% (16/57),33% (14/42),20% (1/5),32,35,71% (10/14),66% (69/105),30% (30/99),49% (99/204),2,0,88% (14/16),6% (1/16),47% (15/32),[],[],[],[],[],1.62
21.04. 22:40,Moller E.,2,6,6,,,,4,1,55%,77% (20/26),43% (9/21),67% (2/3),46% (13/28),73% (22/30),60% (6/10),21,6,75% (3/4),62% (29/47),60% (35/58),61% (64/105),7,0,86% (6/7),86% (6/7),86% (12/14),[],[],[],[],[],1.38
21.04. 22:40,Basavareddy N.,0,1,1,,,,0,10,48%,54% (15/28),27% (8/30),40% (4/10),23% (6/26),57% (12/21),33% (1/3),13,19,57% (4/7),40% (23/58),38% (18/47),39% (41/105),3,1,14% (1/7),14% (1/7),14% (2/14),[],[],[],[],[],3.04
