Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,88/68,83/57,-,-,-,5/11
2024,30/19,30/19,-,-,-,-
2023,23/14,23/14,-,-,-,-
2022,19/19,14/8,-,-,-,5/11
2021,15/14,15/14,-,-,-,-
2020,1/2,1/2,-,-,-,-
