Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Crawford O.,2,,,,,,5,2,58%,82% (28/34),56% (14/25),100% (3/3),32% (10/31),60% (12/20),43% (3/7),71% (42/59),43% (22/51),58% (64/110),6,0,100% (9/9),38% (3/8),71% (12/17),"['5', '3']","['2', '1', '4', '1']",[],[],[],1.22
26.08.,Imamura M.,0,,,,,,3,3,61%,68% (21/31),40% (8/20),57% (4/7),18% (6/34),44% (11/25),0% (0/3),57% (29/51),29% (17/59),42% (46/110),4,1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],4.02
23.08.,Sweeny D.,2,,,,,,"['2', '3', '4', '3', '6', '3']","['5', '3']",[],[],[],1.40
23.08.,Imamura M.,0,,,,,,"['3', '1']",[],[],[],[],2.77
22.08.,Imamura M.,2,,,,,,"['2', '1', '4', '1', '5', '2']",[],"['1', '0', '4', '3']",[],[],1.74
22.08.,Rai A.,1,,,,,,"['2', '4']","['7', '5']","['1', '1']",[],[],1.97
21.08.,Imamura M.,2,,,,,,"['2', '1', '5', '2']","['2', '1', '5', '2']",[],[],[],1.10
21.08.,Wang K.,0,,,,,,[],[],[],[],[],5.80
19.08.,Imamura M.,2,,,,,,"['2', '0']","['1', '2', '5', '4']",[],[],[],1.84
19.08.,Saitoh K.,0,,,,,,[],"['2', '0']",[],[],[],21.0
20.07.,Kim A.,1,,,,,,6,0,61%,75% (15/20),62% (8/13),0% (0/1),44% (12/27),67% (10/15),60% (3/5),16,19,100% (5/5),70% (23/33),52% (22/42),60% (45/75),7,0,83% (5/6),60% (3/5),73% (8/11),"['2', '0', '5', '3']","['1', '0']",[],[],[],1.38
20.07.,Imamura M.,0,,,,,,0,0,64%,56% (15/27),33% (5/15),40% (2/5),25% (5/20),38% (5/13),100% (1/1),2,16,50% (1/2),48% (20/42),30% (10/33),40% (30/75),3,0,40% (2/5),17% (1/6),27% (3/11),"['1', '2']",[],[],[],[],2.90
14.07.,van Wyk K.,2,,,,,,5,3,53%,88% (22/25),50% (11/22),50% (1/2),60% (15/25),62% (8/13),71% (5/7),18,19,100% (5/5),70% (33/47),61% (23/38),66% (56/85),10,0,88% (7/8),71% (5/7),80% (12/15),"['2', '0', '5', '1']","['2', '1', '3', '2', '5', '2']",[],[],[],2.40
14.07.,Imamura M.,0,,,,,,0,2,66%,40% (10/25),38% (5/13),29% (2/7),12% (3/25),50% (11/22),50% (1/2),5,24,25% (1/4),39% (15/38),30% (14/47),34% (29/85),0,0,29% (2/7),13% (1/8),20% (3/15),[],"['2', '2']",[],[],[],1.53
14.07.,Imamura M.,2,,,,,,0,2,59%,69% (20/29),55% (11/20),60% (3/5),45% (14/31),73% (16/22),86% (6/7),12,18,67% (8/12),63% (31/49),57% (30/53),60% (61/102),9,0,75% (6/8),67% (6/9),71% (12/17),"['1', '0', '3', '0', '6', '3']","['2', '0', '4', '2', '6', '2']",[],[],[],1.27
14.07.,Arseneault M.,0,,,,,,0,6,58%,55% (17/31),27% (6/22),14% (1/7),31% (9/29),45% (9/20),40% (2/5),9,37,80% (4/5),43% (23/53),37% (18/49),40% (41/102),1,0,33% (3/9),25% (2/8),29% (5/17),"['1', '3']","['2', '3']",[],[],[],3.54
10.07.,Andrade A.,2,,,,,,3,1,79%,61% (25/41),55% (6/11),60% (3/5),47% (16/34),67% (20/30),40% (6/15),12,24,0% (0/0),60% (31/52),56% (36/64),58% (67/116),7,0,75% (6/8),75% (6/8),75% (12/16),"['1', '3', '3', '3', '5', '3']","['1', '0', '3', '0', '6', '1']",[],[],[],1.41
10.07.,Imamura M.,0,,,,,,1,3,53%,53% (18/34),33% (10/30),60% (9/15),39% (16/41),45% (5/11),40% (2/5),11,35,64% (7/11),44% (28/64),40% (21/52),42% (49/116),3,1,25% (2/8),25% (2/8),25% (4/16),"['1', '0', '3', '0']",[],[],[],[],2.77
09.07.,Imamura M.,2,,,,,,2,4,65%,78% (28/36),53% (10/19),75% (3/4),44% (12/27),50% (8/16),80% (4/5),12,24,67% (6/9),69% (38/55),47% (20/43),59% (58/98),7,0,89% (8/9),50% (4/8),71% (12/17),"['1', '1', '3', '1']","['2', '1', '5', '2']",[],[],[],2.56
09.07.,Glinka D.,0,,,,,,1,1,63%,56% (15/27),50% (8/16),20% (1/5),22% (8/36),47% (9/19),25% (1/4),9,37,50% (1/2),53% (23/43),31% (17/55),41% (40/98),3,1,50% (4/8),11% (1/9),29% (5/17),"['1', '0']",[],[],[],[],1.47
01.07.,Kypson P.,2,,,,,,6,0,53%,77% (27/35),55% (17/31),50% (1/2),37% (13/35),46% (11/24),33% (3/9),21,31,80% (4/5),67% (44/66),41% (24/59),54% (68/125),6,0,90% (9/10),33% (3/9),63% (12/19),"['2', '0', '4', '2']","['1', '0']",[],[],[],1.08
01.07.,Imamura M.,0,,,,,,2,1,59%,63% (22/35),54% (13/24),67% (6/9),23% (8/35),45% (14/31),50% (1/2),15,31,83% (10/12),59% (35/59),33% (22/66),46% (57/125),4,0,67% (6/9),10% (1/10),37% (7/19),"['1', '2']",[],[],[],[],6.85
08.06.,Campana Lee G.,2,,,,,,2,1,74%,86% (30/35),92% (11/12),0% (0/0),38% (16/42),44% (11/25),29% (2/7),87% (41/47),41% (28/68),60% (69/115),7,0,100% (10/10),22% (2/9),63% (12/19),"['6', '4']","['5', '3']",[],[],[],1.25
08.06.,Imamura M.,0,,,,,,0,1,63%,62% (26/42),56% (14/25),71% (5/7),14% (5/35),8% (1/12),0% (0/0),59% (40/68),13% (6/47),40% (46/115),3,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],3.70
01.06.,Brunclik P.,2,,,,,,4,1,64%,68% (32/47),44% (12/27),50% (3/6),44% (20/45),54% (26/48),42% (5/12),59% (44/74),49% (46/93),54% (90/167),8,0,70% (7/10),45% (5/11),57% (12/21),"['2', '0']","['1', '0', '3', '0', '4', '1', '6', '3']",[],[],[],1.08
01.06.,Imamura M.,0,,,,,,0,3,48%,56% (25/45),46% (22/48),58% (7/12),32% (15/47),56% (15/27),50% (3/6),51% (47/93),41% (30/74),46% (77/167),2,0,55% (6/11),30% (3/10),43% (9/21),"['3', '4']","['1', '3', '2', '4']",[],[],[],6.88
29.05.,Hussey G.,2,,,,,,3,2,58%,59% (23/39),61% (17/28),33% (1/3),40% (17/42),54% (14/26),42% (5/12),60% (40/67),46% (31/68),53% (71/135),5,0,80% (8/10),45% (5/11),62% (13/21),"['4', '5', '6', '5']","['2', '1', '5', '2', '6', '3']",[],[],[],1.35
29.05.,Imamura M.,0,,,,,,0,1,62%,60% (25/42),46% (12/26),58% (7/12),41% (16/39),39% (11/28),67% (2/3),54% (37/68),40% (27/67),47% (64/135),5,0,55% (6/11),20% (2/10),38% (8/21),"['5', '3']","['3', '5']",[],[],[],3.04
27.05.,Imamura M.,2,,,,,,8,0,72%,86% (37/43),53% (9/17),0% (0/0),28% (14/50),50% (11/22),15% (2/13),77% (46/60),35% (25/72),54% (71/132),8,0,100% (11/11),18% (2/11),59% (13/22),"['1', '0']","['6', '5']",[],[],[],2.12
27.05.,Samrej K.,0,,,,,,9,3,69%,72% (36/50),50% (11/22),85% (11/13),14% (6/43),47% (8/17),0% (0/0),65% (47/72),23% (14/60),46% (61/132),2,1,82% (9/11),0% (0/11),41% (9/22),[],[],[],[],[],1.67
19.05.,Snitari I.,2,,,,,,2,2,53%,68% (21/31),63% (17/27),83% (5/6),41% (18/44),73% (11/15),80% (4/5),66% (38/58),49% (29/59),57% (67/117),9,0,50% (4/8),89% (8/9),71% (12/17),"['1', '0', '2', '1', '4', '3', '5', '4']","['1', '0', '2', '1', '4', '1', '6', '1']",[],[],[],2.02
19.05.,Imamura M.,0,,,,,,2,2,75%,59% (26/44),27% (4/15),20% (1/5),32% (10/31),37% (10/27),17% (1/6),51% (30/59),34% (20/58),43% (50/117),1,0,11% (1/9),50% (4/8),29% (5/17),"['1', '1', '2', '2', '4', '4']","['1', '1']",[],[],[],1.73
13.05.,Sweeny D.,2,,,,,,"['2', '0']","['2', '2', '4', '2', '6', '2']","['2', '2', '4', '2', '7', '5']",[],[],1.66
13.05.,Imamura M.,1,,,,,,"['3', '4', '5', '4']","['2', '1']","['2', '1', '3', '4']",[],[],2.11
13.04.,Ilagan A.,2,,,,,,3,4,60%,75% (21/28),42% (8/19),25% (1/4),47% (18/38),65% (13/20),86% (6/7),62% (29/47),53% (31/58),57% (60/105),7,0,67% (6/9),60% (6/10),63% (12/19),[],"['2', '1', '4', '1', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],1.61
13.04.,Imamura M.,1,,,,,,3,1,66%,53% (20/38),35% (7/20),14% (1/7),25% (7/28),58% (11/19),75% (3/4),47% (27/58),38% (18/47),43% (45/105),3,0,40% (4/10),33% (3/9),37% (7/19),"['2', '0', '4', '0', '6', '0']",[],[],[],[],2.23
02.04.,Nakagawa S.,2,,,,,,"['1', '2', '3', '2']","['1', '0', '3', '2']",[],[],[],3.62
02.04.,Imamura M.,0,,,,,,"['2', '0']","['1', '1']",[],[],[],1.25
20.03.,Haliak M.,2,,,,,,"['3', '2']","['2', '4', '4', '4', '7', '5']",[],[],[],3.81
20.03.,Imamura M.,0,,,,,,"['3', '3']","['1', '0', '4', '1']",[],[],[],1.23
18.03.,Imamura M.,2,,,,,,"['1', '0', '2', '1']","['4', '3', '6', '3']",[],[],[],1.04
18.03.,Dong Z.,0,,,,,,"['1', '1']",[],[],[],[],8.40
13.03.,Zhang T.,2,,,,,,"['4', '2']","['5', '4']",[],[],[],2.47
13.03.,Imamura M.,0,,,,,,[],[],[],[],[],1.49
