Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,51/31,-,19/13,9/8,3/5,20/5
2024,20/7,-,13/6,1/1,-,6/0
2023,11/6,-,4/4,-,-,7/2
2022,10/6,-,-,-,3/3,7/3
2021,9/10,-,2/3,7/5,0/2,-
2020,1/2,-,-,1/2,-,-
