Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,533/408,101/85,243/203,102/63,86/57,1/0
2024,17/16,6/6,5/4,5/3,1/3,-
2023,30/28,1/3,13/17,10/4,5/4,1/0
2022,33/33,3/5,21/19,2/3,7/6,-
2021,43/31,4/5,23/18,4/4,12/4,-
2020,19/9,0/1,13/6,6/2,-,-
2019,20/34,2/7,8/14,1/6,9/7,-
2018,49/29,7/5,17/13,15/6,10/5,-
2017,35/27,5/4,14/12,13/6,3/5,-
2016,28/32,8/7,13/17,3/3,4/5,-
2015,49/29,4/3,26/18,7/6,12/2,-
2014,41/22,3/6,20/9,12/4,6/3,-
2013,44/31,8/3,24/17,5/7,7/4,-
2012,38/28,3/5,17/14,15/5,3/4,-
2011,38/28,10/8,19/12,4/4,5/4,-
2010,21/16,12/8,7/7,-,2/1,-
2009,22/12,19/7,3/5,-,-,-
2008,6/3,6/2,0/1,-,-,-
