Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ATP - SINGLES :  US Open (USA),hard,header
25.07.2024,Krueger M.,2,6,6,,,,7,2,72%,83% (30/36),36% (5/14),67% (2/3),32% (8/25),56% (19/34),40% (4/10),6,70% (35/50),46% (27/59),57% (62/109),5,89% (8/9),44% (4/9),67% (12/18),"['2', '1', '5', '4']","['3', '2', '5', '2']",[],[],[],1.69
25.07.2024,Sekulic P.,0,4,2,,,,6,6,42%,68% (17/25),44% (15/34),60% (6/10),17% (6/36),64% (9/14),33% (1/3),5,54% (32/59),30% (15/50),43% (47/109),2,56% (5/9),11% (1/9),33% (6/18),"['4', '4']",[],[],[],[],2.12
23.07.2024,Krueger M.,2,6,6,,,,1,2,58%,68% (23/34),52% (13/25),50% (2/4),40% (19/48),57% (16/28),40% (4/10),6,61% (36/59),46% (35/76),53% (71/135),5,80% (8/10),40% (4/10),60% (12/20),"['2', '1', '3', '2']","['1', '0', '3', '0']",[],[],[],1.40
23.07.2024,Gea A.,0,4,4,,,,2,2,63%,60% (29/48),43% (12/28),60% (6/10),32% (11/34),48% (12/25),50% (2/4),7,54% (41/76),39% (23/59),47% (64/135),3,60% (6/10),20% (2/10),40% (8/20),"['2', '2']","['3', '5']",[],[],[],2.84
ATP - SINGLES :  Newport (USA) - Qualification,grass,header
15.07.2024,Krueger M.,0,3,6^6,,,,3,0,62%,71% (24/34),76% (16/21),0% (0/1),17% (8/47),41% (9/22),0% (0/2),13,5,57% (4/7),5,73% (40/55),25% (17/69),46% (57/124),1,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],2.76
15.07.2024,Bolt A.,2,6,7^8,,,,8,2,68%,83% (39/47),59% (13/22),100% (2/2),29% (10/34),24% (5/21),100% (1/1),28,15,67% (18/27),5,75% (52/69),27% (15/55),54% (67/124),3,100% (11/11),10% (1/10),57% (12/21),"['4', '2']",[],[],[],[],1.42
15.07.2024,Krueger M.,2,6,7^7,,,,4,4,60%,73% (36/49),48% (16/33),78% (7/9),36% (14/39),50% (13/26),60% (3/5),32,11,73% (29/40),6,63% (52/82),42% (27/65),54% (79/147),5,82% (9/11),30% (3/10),57% (12/21),"['2', '0', '4', '0']","['3', '4']",[],[],[],1.65
15.07.2024,Kwiatkowski T. S.,0,3,6^4,,,,12,5,60%,64% (25/39),50% (13/26),40% (2/5),27% (13/49),52% (17/33),22% (2/9),26,15,41% (11/27),4,58% (38/65),37% (30/82),46% (68/147),3,70% (7/10),18% (2/11),43% (9/21),"['2', '5']","['3', '1']",[],[],[],2.25
CHALLENGER MEN - SINGLES :  Bloomfield Hills (USA),hard,header
03.07.2024,Krueger M.,1,3,6,3,,,4,2,61%,69% (36/52),48% (16/33),50% (3/6),25% (14/57),47% (14/30),22% (2/9),6,61% (52/85),32% (28/87),47% (80/172),3,77% (10/13),14% (2/14),44% (12/27),"['2', '5']","['4', '2']",[],[],[],1.60
03.07.2024,Escobedo E.,2,6,3,6,,,7,2,66%,75% (43/57),53% (16/30),78% (7/9),31% (16/52),52% (17/33),50% (3/6),8,68% (59/87),39% (33/85),53% (92/172),3,86% (12/14),23% (3/13),56% (15/27),"['2', '0', '5', '1']",[],"['3', '1']",[],[],2.13
ITF MEN - SINGLES :  M25 Tulsa,hard,header
21.06.2024,Krueger M.,1,6,6^2,6^5,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['4', '2', '6', '2']","['4', '4']",[],[],[],1.06
21.06.2024,Kotzen N. I.,2,2,7^7,7^7,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['4', '3']",[],[],[],7.60
20.06.2024,Krueger M.,2,4,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '0', '4', '0']","['5', '4']",[],[],1.12
20.06.2024,McCormick T.,1,6,1,4,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '1']",[],[],[],[],5.57
20.06.2024,Krueger M.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['4', '3']","['2', '1']",[],[],[],1.30
20.06.2024,Cassone M.,0,4,4,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],3.34
CHALLENGER MEN - SINGLES :  Tyler (USA),hard,header
07.06.2024,Krueger M.,1,6,6^4,6^4,,,9,4,58%,68% (47/69),53% (26/49),57% (4/7),34% (21/61),47% (21/45),50% (5/10),8,62% (73/118),40% (42/106),51% (115/224),5,81% (13/16),33% (5/15),58% (18/31),"['2', '0', '4', '0']",[],"['2', '0', '3', '1', '6', '6']",[],[],1.74
07.06.2024,Holt B.,2,1,7^7,7^7,,,6,2,58%,66% (40/61),53% (24/45),50% (5/10),32% (22/69),47% (23/49),43% (3/7),5,60% (64/106),38% (45/118),49% (109/224),3,67% (10/15),19% (3/16),42% (13/31),[],[],"['1', '2', '3', '4', '6', '5']",[],[],2.02
05.06.2024,Krueger M.,2,6,6,,,,4,0,60%,84% (26/31),57% (12/21),100% (6/6),36% (10/28),56% (15/27),36% (4/11),7,73% (38/52),45% (25/55),59% (63/107),5,100% (8/8),50% (4/8),75% (12/16),"['4', '2']","['1', '0', '3', '0', '6', '1']",[],[],[],1.17
05.06.2024,Kirchheimer S.,0,3,1,,,,4,2,51%,64% (18/28),44% (12/27),64% (7/11),16% (5/31),43% (9/21),0% (0/6),5,55% (30/55),27% (14/52),41% (44/107),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],4.71
CHALLENGER MEN - SINGLES :  Little Rock (USA),hard,header
02.06.2024,Krueger M.,2,6,6,,,,5,4,53%,81% (25/31),57% (16/28),67% (2/3),35% (11/31),56% (9/16),75% (3/4),6,69% (41/59),43% (20/47),58% (61/106),3,90% (9/10),33% (3/9),63% (12/19),"['2', '0', '3', '1']","['2', '1']",[],[],[],1.43
02.06.2024,Shimizu Y.,0,3,4,,,,6,2,66%,65% (20/31),44% (7/16),25% (1/4),19% (6/31),43% (12/28),33% (1/3),5,57% (27/47),31% (18/59),42% (45/106),1,67% (6/9),10% (1/10),37% (7/19),"['1', '2']",[],[],[],[],2.73
02.06.2024,Krueger M.,2,3,6,6,,,10,2,55%,74% (35/47),51% (20/39),67% (4/6),41% (19/46),43% (13/30),80% (4/5),9,64% (55/86),42% (32/76),54% (87/162),5,85% (11/13),31% (4/13),58% (15/26),"['2', '3']","['3', '1', '5', '1']","['2', '1']",[],[],1.67
02.06.2024,Shelbayh A.,1,6,1,4,,,2,4,61%,59% (27/46),57% (17/30),20% (1/5),26% (12/47),49% (19/39),33% (2/6),7,58% (44/76),36% (31/86),46% (75/162),3,69% (9/13),15% (2/13),42% (11/26),"['2', '0', '5', '3']",[],[],[],[],2.11
30.05.2024,Krueger M.,2,7^9,6,,,,12,1,61%,82% (36/44),57% (16/28),67% (2/3),30% (11/37),49% (18/37),25% (2/8),7,72% (52/72),39% (29/74),55% (81/146),3,91% (10/11),20% (2/10),57% (12/21),"['3', '4']","['4', '2']",[],[],[],1.31
30.05.2024,Mayo A.,0,6^7,3,,,,3,4,50%,70% (26/37),51% (19/37),75% (6/8),18% (8/44),43% (12/28),33% (1/3),6,61% (45/74),28% (20/72),45% (65/146),2,80% (8/10),9% (1/11),43% (9/21),"['4', '2']",[],[],[],[],3.31
28.05.2024,Krueger M.,2,6,3,6,,,8,3,59%,77% (41/53),43% (16/37),67% (6/9),40% (24/60),43% (17/40),29% (4/14),8,63% (57/90),41% (41/100),52% (98/190),4,79% (11/14),29% (4/14),54% (15/28),"['1', '1', '3', '1']",[],"['2', '0', '6', '4']",[],[],1.53
28.05.2024,Draxl L.,1,3,6,4,,,5,5,60%,60% (36/60),58% (23/40),71% (10/14),23% (12/53),57% (21/37),33% (3/9),8,59% (59/100),37% (33/90),48% (92/190),3,71% (10/14),21% (3/14),46% (13/28),"['1', '0']","['4', '2']","['3', '4']",[],[],2.43
ATP - SINGLES :  Geneva (Switzerland) - Qualification,clay,header
18.05.2024,Krueger M.,1,6^3,7^8,1,,,14,3,66%,65% (51/79),48% (19/40),60% (6/10),21% (12/56),48% (26/54),50% (2/4),37,27,71% (20/28),5,59% (70/119),35% (38/110),47% (108/229),3,73% (11/15),13% (2/16),42% (13/31),"['1', '2', '4', '5']",[],[],[],[],3.04
18.05.2024,Kovacevic A.,2,7^7,6^6,6,,,6,5,51%,79% (44/56),52% (28/54),50% (2/4),35% (28/79),53% (21/40),40% (4/10),40,24,88% (22/25),7,65% (72/110),41% (49/119),53% (121/229),3,88% (14/16),27% (4/15),58% (18/31),"['2', '0', '4', '2']",[],"['2', '0', '5', '1']",[],[],1.38
CHALLENGER MEN - SINGLES :  Tunis (Tunisia),clay,header
15.05.2024,Krueger M.,0,3,4,,,,4,3,50%,61% (17/28),46% (13/28),20% (1/5),33% (15/45),47% (8/17),33% (2/6),6,54% (30/56),37% (23/62),45% (53/118),3,56% (5/9),20% (2/10),37% (7/19),"['2', '5']","['2', '0']",[],[],[],1.67
15.05.2024,Dellien Velasco M. A.,2,6,6,,,,2,0,73%,67% (30/45),53% (9/17),67% (4/6),39% (11/28),54% (15/28),80% (4/5),6,63% (39/62),46% (26/56),55% (65/118),5,80% (8/10),44% (4/9),63% (12/19),"['2', '0', '4', '0']","['1', '2', '4', '3']",[],[],[],2.14
13.05.2024,Krueger M.,2,7^7,6,,,,6,4,63%,77% (33/43),56% (14/25),50% (1/2),34% (15/44),43% (15/35),29% (2/7),7,69% (47/68),38% (30/79),52% (77/147),4,91% (10/11),18% (2/11),55% (12/22),[],"['4', '4', '6', '4']",[],[],[],2.33
13.05.2024,Misolic F.,0,6^3,4,,,,7,4,56%,66% (29/44),57% (20/35),71% (5/7),23% (10/43),44% (11/25),50% (1/2),8,62% (49/79),31% (21/68),48% (70/147),2,82% (9/11),9% (1/11),45% (10/22),[],"['1', '0']",[],[],[],1.57
CHALLENGER MEN - SINGLES :  Savannah (USA),clay,header
25.04.2024,Krueger M.,0,3,6^3,,,,2,0,72%,54% (33/61),46% (11/24),64% (7/11),24% (9/38),46% (12/26),50% (3/6),5,52% (44/85),33% (21/64),44% (65/149),4,60% (6/10),27% (3/11),43% (9/21),"['1', '0']","['2', '4', '4', '4']",[],[],[],1.38
25.04.2024,Andrade A.,2,6,7^7,,,,3,3,59%,76% (29/38),54% (14/26),50% (3/6),46% (28/61),54% (13/24),36% (4/11),10,67% (43/64),48% (41/85),56% (84/149),3,73% (8/11),40% (4/10),57% (12/21),"['1', '1', '4', '2']","['1', '0', '4', '1']",[],[],[],2.93
24.04.2024,Krueger M.,2,6,6,,,,1,4,55%,78% (25/32),50% (13/26),67% (2/3),38% (16/42),67% (18/27),36% (4/11),7,66% (38/58),49% (34/69),57% (72/127),3,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '5', '3']","['2', '1', '5', '2']",[],[],[],1.68
24.04.2024,Tabur C.,0,3,2,,,,3,5,61%,62% (26/42),33% (9/27),64% (7/11),22% (7/32),50% (13/26),33% (1/3),4,51% (35/69),34% (20/58),43% (55/127),2,50% (4/8),11% (1/9),29% (5/17),"['3', '4']",[],[],[],[],2.13
CHALLENGER MEN - SINGLES :  Tallahassee (USA),clay,header
22.04.2024,Krueger M.,0,4,6^9,,,,5,1,73%,66% (35/53),60% (12/20),25% (1/4),31% (18/58),52% (13/25),40% (2/5),8,64% (47/73),37% (31/83),50% (78/156),1,73% (8/11),18% (2/11),45% (10/22),"['3', '4', '4', '5']",[],[],[],[],2.84
22.04.2024,Bergs Z.,2,6,7^11,,,,5,4,70%,69% (40/58),48% (12/25),60% (3/5),34% (18/53),40% (8/20),75% (3/4),6,63% (52/83),36% (26/73),50% (78/156),2,82% (9/11),27% (3/11),55% (12/22),"['4', '2', '5', '3', '6', '4']",[],[],[],[],1.40
20.04.2024,Krueger M.,2,6,3,6,,,0,2,69%,69% (34/49),55% (12/22),63% (5/8),37% (15/41),58% (19/33),50% (5/10),9,65% (46/71),46% (34/74),55% (80/145),5,77% (10/13),42% (5/12),60% (15/25),"['2', '0', '5', '1']","['3', '2']","['2', '0', '4', '0']",[],[],1.68
20.04.2024,Kozlov S.,1,3,6,1,,,1,2,55%,63% (26/41),42% (14/33),50% (5/10),31% (15/49),45% (10/22),38% (3/8),11,54% (40/74),35% (25/71),45% (65/145),4,58% (7/12),23% (3/13),40% (10/25),"['2', '5']","['3', '3', '5', '3']",[],[],[],2.10
20.04.2024,Krueger M.,2,7,7^7,,,,2,1,68%,75% (36/48),61% (14/23),33% (1/3),28% (15/54),54% (20/37),43% (3/7),5,70% (50/71),38% (35/91),52% (85/162),5,83% (10/12),25% (3/12),54% (13/24),"['5', '5', '7', '5']","['4', '2']",[],[],[],1.47
20.04.2024,Schwaerzler J. J.,0,5,6^4,,,,6,5,59%,72% (39/54),46% (17/37),57% (4/7),25% (12/48),39% (9/23),67% (2/3),6,62% (56/91),30% (21/71),48% (77/162),3,75% (9/12),17% (2/12),46% (11/24),"['1', '0']","['4', '5']",[],[],[],2.56
17.04.2024,Krueger M.,2,7^7,6,,,,5,4,60%,75% (30/40),56% (15/27),67% (2/3),36% (15/42),56% (19/34),43% (3/7),8,67% (45/67),45% (34/76),55% (79/143),4,90% (9/10),30% (3/10),60% (12/20),"['5', '4']","['4', '2', '6', '2']",[],[],[],1.63
