Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,447/380,124/94,282/229,32/42,9/15,-
2024,39/24,9/7,28/14,1/2,1/1,-
2023,29/29,4/4,15/19,10/6,-,-
2022,29/28,6/5,18/15,1/6,4/2,-
2021,29/24,5/5,19/12,3/5,2/2,-
2020,22/20,1/3,19/15,2/2,-,-
2019,25/30,2/6,17/19,5/2,1/3,-
2018,28/35,8/10,19/20,1/4,0/1,-
2017,27/34,6/7,20/20,0/2,1/5,-
2016,38/31,1/2,34/24,3/5,-,-
2015,39/33,9/9,27/21,3/3,-,-
2014,54/35,29/11,25/23,-,0/1,-
2013,53/27,30/14,21/12,2/1,-,-
2012,26/19,11/8,15/10,0/1,-,-
2011,4/7,3/3,0/3,1/1,-,-
2010,2/2,-,2/1,0/1,-,-
2009,3/2,-,3/1,0/1,-,-
