Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,333/221,151/97,145/81,36/40,-,1/3
2024,26/18,21/11,2/4,2/3,-,1/0
2023,40/27,23/13,9/6,8/8,-,-
2022,27/32,9/13,17/14,1/4,-,0/1
2021,34/23,12/11,11/6,11/6,-,-
2020,17/7,11/6,6/0,0/1,-,-
2019,2/8,0/2,2/6,-,-,-
2018,18/21,5/7,10/7,3/5,-,0/2
2017,49/25,25/12,18/8,6/5,-,-
2016,51/17,31/12,19/4,1/1,-,-
2015,48/23,11/7,35/12,2/4,-,-
2014,16/14,3/2,11/9,2/3,-,-
2013,5/2,-,5/2,-,-,-
2012,0/2,0/1,0/1,-,-,-
2011,0/2,-,0/2,-,-,-
