Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
28.07.,Martin Manzano J. C.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['3', '3', '6', '4']",[],[],[],1.90
28.07.,Serafini M.,0,,,,,,[],"['1', '0']",[],[],[],1.80
08.07.,Xilas I.,2,,,,,,"['3', '1', '5', '1']","['5', '4']",[],[],[],1.87
08.07.,Serafini M.,0,,,,,,[],[],[],[],[],1.83
19.06.,Oradini G.,2,,,,,,"['2', '0']","['3', '2', '5', '2']","['2', '1', '4', '3', '5', '4']",[],[],1.37
19.06.,Serafini M.,1,,,,,,"['1', '2', '4', '3', '6', '3']",[],"['3', '3', '4', '4']",[],[],2.89
17.06.,Serafini M.,2,,,,,,"['3', '3', '4', '4', '7', '5']","['2', '0', '6', '2']",[],[],[],1.26
17.06.,Mazzola F.,0,,,,,,"['1', '0', '4', '3']",[],[],[],[],3.54
03.06.,Laborde A.,2,,,,,,"['3', '2', '5', '2']","['1', '0', '5', '2']",[],[],[],4.67
03.06.,Serafini M.,0,,,,,,[],[],[],[],[],1.16
28.05.,Karol M.,2,,,,,,"['2', '1', '4', '1']","['4', '3']",[],[],[],1.34
28.05.,Serafini M.,0,,,,,,[],[],[],[],[],3.04
27.05.,Serafini M.,2,,,,,,"['3', '1']","['5', '4', '6', '5']",[],[],[],-
27.05.,Szerencsits B.,0,,,,,,[],"['5', '5']",[],[],[],-
23.04.,Picchione A.,2,,,,,,"['2', '1', '4', '1', '6', '5']","['1', '0', '3', '0', '6', '3']",[],[],[],1.33
23.04.,Serafini M.,0,,,,,,"['2', '4', '5', '5']","['2', '4']",[],[],[],3.09
14.04.,Pennaforti G.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '2', '6', '4']",[],[],[],1.41
14.04.,Serafini M.,0,,,,,,[],"['1', '0']",[],[],[],2.73
02.04.,Longwe-Smit T.,2,,,,,,[],"['1', '1', '3', '1', '4', '2', '5', '5', '7', '5']",[],[],[],4.53
02.04.,Serafini M.,0,,,,,,[],"['1', '0', '2', '3', '3', '4', '5', '4']",[],[],[],1.17
27.03.,Walters M.,2,,,,,,"['4', '5']","['2', '0', '3', '1', '7', '5']",[],[],[],3.04
27.03.,Serafini M.,0,,,,,,"['5', '3']","['1', '2', '2', '3']",[],[],[],1.34
26.03.,Serafini M.,2,,,,,,[],"['3', '1', '5', '1']","['1', '0', '3', '2', '5', '2']",[],[],1.11
26.03.,Bazilevskiy V.,1,,,,,,"['1', '0']",[],"['2', '2']",[],[],5.55
11.03.,Rodesch C.,2,,,,,,4,6,61%,72% (34/47),40% (12/30),71% (5/7),39% (23/59),57% (17/30),57% (4/7),60% (46/77),45% (40/89),52% (86/166),5,0,82% (9/11),36% (4/11),59% (13/22),"['2', '3', '6', '5']","['2', '1', '4', '3']",[],[],[],1.13
11.03.,Serafini M.,0,,,,,,7,2,66%,61% (36/59),43% (13/30),43% (3/7),28% (13/47),60% (18/30),29% (2/7),55% (49/89),40% (31/77),48% (80/166),5,2,64% (7/11),18% (2/11),41% (9/22),"['2', '0']","['3', '3']",[],[],[],5.25
10.03.,Serafini M.,2,,,,,,6,1,72%,68% (21/31),58% (7/12),80% (4/5),53% (10/19),77% (17/22),55% (6/11),65% (28/43),66% (27/41),65% (55/84),8,0,86% (6/7),86% (6/7),86% (12/14),"['2', '1', '4', '1', '6', '1']","['1', '1', '3', '1', '5', '1']",[],[],[],1.60
10.03.,Pavel B.,0,,,,,,1,2,46%,47% (9/19),23% (5/22),45% (5/11),32% (10/31),42% (5/12),20% (1/5),34% (14/41),35% (15/43),35% (29/84),2,0,14% (1/7),14% (1/7),14% (2/14),[],"['1', '0']",[],[],[],2.25
09.03.,Serafini M.,2,,,,,,1,2,63%,78% (28/36),57% (12/21),100% (4/4),48% (11/23),54% (13/24),57% (4/7),70% (40/57),51% (24/47),62% (64/104),6,0,100% (8/8),57% (4/7),80% (12/15),"['2', '0', '5', '1']","['1', '0', '3', '0']",[],[],[],1.30
09.03.,Kountourakis I.,0,,,,,,4,6,49%,52% (12/23),46% (11/24),43% (3/7),22% (8/36),43% (9/21),0% (0/4),49% (23/47),30% (17/57),38% (40/104),4,1,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],3.35
05.03.,Sultanov K.,2,,,,,,3,4,57%,67% (35/52),56% (22/39),70% (7/10),36% (16/45),44% (12/27),80% (4/5),63% (57/91),39% (28/72),52% (85/163),8,0,75% (9/12),33% (4/12),54% (13/24),"['4', '2']","['1', '0', '3', '0', '6', '5']",[],[],[],1.08
05.03.,Serafini M.,0,,,,,,5,2,63%,64% (29/45),56% (15/27),20% (1/5),33% (17/52),44% (17/39),30% (3/10),61% (44/72),37% (34/91),48% (78/163),2,4,67% (8/12),25% (3/12),46% (11/24),"['4', '5']","['1', '3', '5', '5']",[],[],[],6.60
