Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,124/103,82/69,26/14,16/20,-,-
2024,28/26,17/18,-,11/8,-,-
2023,33/32,30/21,0/2,3/9,-,-
2022,34/24,20/17,14/6,0/1,-,-
2021,29/21,15/13,12/6,2/2,-,-
