Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,66/68,4/18,61/48,-,1/2,-
2024,33/18,-,32/16,-,1/2,-
2023,19/28,3/13,16/15,-,-,-
2022,5/8,1/3,4/5,-,-,-
2021,8/11,0/2,8/9,-,-,-
2020,1/3,-,1/3,-,-,-
