Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,156/126,85/63,45/34,25/25,-,1/4
2024,37/21,25/13,12/6,0/1,-,0/1
2023,15/14,7/7,8/6,0/1,-,-
2022,19/15,5/4,7/6,6/5,-,1/0
2021,13/13,10/7,2/2,1/4,-,-
2020,7/6,2/1,4/4,1/1,-,-
2019,14/7,9/5,5/2,-,-,-
2018,8/7,5/5,1/1,2/1,-,-
2017,2/3,-,-,2/1,-,0/2
2016,20/20,7/9,4/5,9/5,-,0/1
2015,16/15,10/8,2/2,4/5,-,-
2014,5/4,5/4,-,-,-,-
2013,0/1,-,-,0/1,-,-
