Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,71/52,4/3,64/46,-,3/3,-
2024,10/7,-,10/7,-,-,-
2023,30/22,-,27/20,-,3/2,-
2022,21/20,4/3,17/16,-,0/1,-
2021,10/3,-,10/3,-,-,-
