Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,207/134,197/123,10/11,-,-,-
2024,37/26,32/22,5/4,-,-,-
2023,59/34,55/30,4/4,-,-,-
2022,40/24,40/22,0/2,-,-,-
2021,55/32,54/31,1/1,-,-,-
2020,6/5,6/5,-,-,-,-
2019,8/8,8/8,-,-,-,-
2018,1/2,1/2,-,-,-,-
2017,0/2,0/2,-,-,-,-
2016,1/1,1/1,-,-,-,-
