Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,75/60,62/53,13/7,-,-,-
2024,42/25,30/19,12/6,-,-,-
2023,23/24,23/24,-,-,-,-
2022,9/10,9/10,-,-,-,-
2021,1/1,-,1/1,-,-,-
