Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,328/204,13/13,195/118,58/34,51/33,11/6
2024,27/17,2/5,15/7,1/1,8/3,1/1
2023,40/20,1/1,26/12,1/2,10/4,2/1
2022,29/18,-,4/7,16/6,9/4,0/1
2021,26/15,5/1,12/9,5/3,4/2,-
2020,22/10,1/1,10/6,8/1,-,3/2
2019,16/14,-,9/11,2/2,-,5/1
2018,36/24,0/1,28/18,-,8/5,-
2017,40/23,-,27/15,7/2,6/6,-
2016,38/21,-,30/15,4/2,4/4,-
2015,0/1,0/1,-,-,-,-
2014,39/23,1/1,30/14,6/4,2/4,-
2013,9/10,-,4/4,5/5,0/1,-
2012,2/3,-,-,2/3,-,-
2011,4/4,3/2,-,1/2,-,-
2010,0/1,-,-,0/1,-,-
