Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,179/147,55/53,115/80,4/11,5/3,-
2024,0/1,-,0/1,-,-,-
2023,1/2,0/1,1/1,-,-,-
2022,2/7,0/1,2/6,-,-,-
2021,12/15,7/7,5/6,0/2,-,-
2020,6/13,2/5,4/5,0/2,0/1,-
2019,16/25,5/10,8/11,2/3,1/1,-
2018,29/24,1/6,23/15,1/2,4/1,-
2017,52/32,29/16,23/16,-,-,-
2016,32/17,0/3,31/13,1/1,-,-
2015,22/7,8/2,14/4,0/1,-,-
2014,7/4,3/2,4/2,-,-,-
