Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,243/167,212/144,26/22,-,-,5/1
2024,26/18,26/18,-,-,-,-
2023,23/33,14/25,4/7,-,-,5/1
2022,45/26,43/25,2/1,-,-,-
2021,26/18,25/16,1/2,-,-,-
2020,19/10,15/5,4/5,-,-,-
2019,19/12,11/8,8/4,-,-,-
2018,41/21,36/19,5/2,-,-,-
2017,36/22,34/21,2/1,-,-,-
2016,8/6,8/6,-,-,-,-
2014,0/1,0/1,-,-,-,-
