Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
19.03.,Nguyen A.,2,,,,,,"['3', '2']","['2', '0', '4', '0']",[],[],[],1.49
19.03.,Jones A.,0,,,,,,"['5', '5']",[],[],[],[],2.47
14.01.,Milev Y.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],-
14.01.,Jones A.,0,,,,,,[],[],[],[],[],-
20.11.2024,Harper C.,2,,,,,,"['4', '4', '7', '5']","['3', '1', '5', '1']",[],[],[],1.23
20.11.2024,Jones A.,0,,,,,,"['2', '1']",[],[],[],[],3.81
14.11.2024,Anthrop J.,2,,,,,,"['2', '0', '4', '0']","['1', '0']",[],[],[],1.09
14.11.2024,Jones A.,0,,,,,,[],[],[],[],[],6.23
13.11.2024,Jones A.,2,,,,,,"['2', '0', '4', '0', '5', '1']","['5', '4']",[],[],[],2.32
13.11.2024,Van Sambeek F.,0,,,,,,"['1', '4']",[],[],[],[],1.55
23.10.2024,Rybakov A.,2,,,,,,[],"['1', '0', '3', '2']",[],[],[],1.09
23.10.2024,Jones A.,0,,,,,,[],"['2', '2']",[],[],[],6.39
06.09.2024,Bar Biryukov P.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '6', '2']",[],[],[],1.12
06.09.2024,Jones A.,0,,,,,,[],[],[],[],[],5.56
05.09.2024,Jones A.,2,,,,,,"['3', '2']","['2', '1']",[],[],[],2.18
05.09.2024,Khazime D.,0,,,,,,[],[],[],[],[],1.63
04.09.2024,Jones A.,2,,,,,,[],"['1', '0']",[],[],[],3.12
04.09.2024,Nasridinov A.,0,,,,,,[],[],[],[],[],1.33
30.04.2024,Searle H.,2,,,,,,"['2', '1', '4', '1']","['3', '2', '5', '2']",[],[],[],1.07
30.04.2024,Jones A.,0,,,,,,[],"['3', '5']",[],[],[],7.23
07.02.2024,Frusina A.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '6', '3']",[],[],[],1.47
07.02.2024,Jones A.,0,,,,,,[],[],[],[],[],2.56
17.10.2023,Houghton G.,2,,,,,,"['6', '5']",[],"['7', '5']",[],[],1.31
17.10.2023,Jones A.,1,,,,,,[],"['4', '2']",[],[],[],3.22
16.08.2023,Guerrieri A.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '0', '5', '2']",[],[],[],1.11
16.08.2023,Jones A.,0,,,,,,[],"['2', '4']",[],[],[],5.68
07.06.2023,Eriksson Ziverts J.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0']",[],[],[],1.18
07.06.2023,Jones A.,0,,,,,,[],[],[],[],[],4.32
17.03.2023,Langmo C.,2,,,,,,"['3', '2']","['1', '0', '4', '3', '6', '3']",[],[],[],1.04
17.03.2023,Jones A.,0,,,,,,[],"['3', '3']",[],[],[],8.60
17.03.2023,Jones A.,2,,,,,,"['2', '2', '4', '4']","['1', '0', '7', '4']",[],[],[],7.80
17.03.2023,Kumar O.,0,,,,,,"['1', '0', '4', '3']",[],[],[],[],1.06
16.03.2023,Jones A.,2,,,,,,[],"['1', '0', '3', '0']",[],[],[],-
16.03.2023,Williams C.,0,,,,,,"['3', '0']",[],[],[],[],-
08.02.2023,Martineau M.,2,,,,,,"['3', '2', '5', '2']","['2', '3', '4', '5']",[],[],[],1.06
08.02.2023,Jones A.,0,,,,,,[],"['3', '1', '4', '2']",[],[],[],7.30
11.01.2023,Matusevich A.,2,,,,,,"['1', '0', '5', '2']","['3', '2']",[],[],[],1.08
11.01.2023,Jones A.,0,,,,,,[],[],[],[],[],6.70
24.08.2022,Strombachs R.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.14
24.08.2022,Jones A.,0,,,,,,[],[],[],[],[],5.05
18.08.2022,Strombachs R.,2,,,,,,"['2', '1']","['3', '2', '5', '4']",[],[],[],1.09
18.08.2022,Jones A.,0,,,,,,[],"['3', '3']",[],[],[],6.45
16.08.2022,Jones A.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '5', '2']",[],[],[],1.96
16.08.2022,Canter A.,0,,,,,,[],[],[],[],[],1.77
11.05.2022,Whitehouse M.,2,,,,,,"['2', '3', '4', '3', '6', '3']","['4', '2']",[],[],[],1.30
11.05.2022,Jones A.,0,,,,,,"['2', '0']",[],[],[],[],3.46
21.04.2022,Peliwo F.,2,,,,,,"['2', '1', '3', '2', '6', '5']","['1', '0']",[],[],[],1.32
21.04.2022,Jones A.,0,,,,,,"['2', '2', '5', '5']",[],[],[],[],3.30
20.04.2022,Jones A.,2,,,,,,"['3', '1']","['1', '0', '3', '0']",[],[],[],8.00
20.04.2022,Cox D.,0,,,,,,[],"['2', '4']",[],[],[],1.07
