Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,148/167,13/17,102/90,28/54,0/3,5/3
2024,15/17,2/3,10/10,2/2,-,1/2
2023,27/36,1/2,16/18,6/14,0/1,4/1
2022,29/27,0/2,25/16,4/8,0/1,-
2021,24/23,0/1,21/16,3/6,-,-
2020,5/11,-,1/3,4/8,-,-
2019,15/15,1/1,11/10,3/4,-,-
2018,25/22,6/5,16/12,3/4,0/1,-
2017,6/9,3/3,1/3,2/3,-,-
2016,2/6,-,1/2,1/4,-,-
2014,0/1,-,-,0/1,-,-
