Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,160/108,12/16,139/81,1/3,8/8,-
2024,42/24,1/2,35/18,-,6/4,-
2023,29/27,2/6,24/14,1/3,2/4,-
2022,39/27,9/8,30/19,-,-,-
2021,40/18,-,40/18,-,-,-
2020,10/12,-,10/12,-,-,-
