Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
20.06.,Fenty A.,1,,,,,,"['2', '2', '4', '2', '5', '3']","['1', '0']",[],[],[],1.37
20.06.,Anderson O.,0,,,,,,"['1', '0', '3', '4']",[],[],[],[],2.89
19.06.,Fenty A.,2,,,,,,"['2', '0', '5', '5']","['1', '0', '4', '1', '6', '3']",[],[],[],4.14
19.06.,Perez A.,0,,,,,,"['2', '3', '4', '3']","['2', '4']",[],[],[],1.20
18.06.,Fenty A.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],[],1.04
18.06.,Schiffman E.,0,,,,,,[],[],[],[],[],8.20
13.06.,Svajda T.,2,,,,,,"['3', '1', '4', '2', '5', '3']","['2', '1']",[],[],[],1.13
13.06.,Fenty A.,0,,,,,,"['2', '3', '3', '4']",[],[],[],[],5.05
12.06.,Fenty A.,2,,,,,,"['3', '1', '5', '1']","['2', '1', '5', '2']",[],[],[],1.44
12.06.,Brymer G.,0,,,,,,[],[],[],[],[],2.62
11.06.,Fenty A.,2,,,,,,"['2', '1']","['2', '0']",[],[],[],-
11.06.,Kirchheimer S.,0,,,,,,"['4', '4']",[],[],[],[],-
07.06.,Tarvet O.,2,,,,,,"['2', '1', '4', '3']","['1', '0', '3', '0', '6', '1']",[],[],[],1.19
07.06.,Fenty A.,0,,,,,,"['3', '3']",[],[],[],[],4.23
06.06.,Fenty A.,2,,,,,,"['2', '1', '4', '3', '6', '3']","['1', '1', '4', '2']",[],[],[],3.26
06.06.,Smith K.,0,,,,,,"['2', '2']","['1', '0']",[],[],[],1.30
05.06.,Fenty A.,2,,,,,,"['5', '5']","['1', '2', '5', '4', '6', '5']",[],[],[],1.63
05.06.,Klaassen S.,0,,,,,,"['5', '4']","['2', '0', '5', '5', '6', '6']",[],[],[],2.16
04.06.,Fenty A.,1,,,,,,"['1', '0', '3', '4', '6', '5']","['2', '1']",[],[],[],2.03
