Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,21/31,17/25,3/5,-,-,1/1
2024,14/17,14/17,-,-,-,-
2023,3/8,2/6,1/2,-,-,-
2022,3/5,1/2,2/3,-,-,-
2020,1/1,-,-,-,-,1/1
