Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,449/333,393/275,40/44,11/13,-,5/1
2024,30/27,24/22,4/4,2/1,-,-
2023,18/38,12/26,6/8,0/4,-,-
2022,51/36,34/27,3/2,9/6,-,5/1
2021,55/36,48/29,7/7,-,-,-
2020,0/11,0/6,0/4,0/1,-,-
2019,46/23,38/19,8/4,-,-,-
2018,52/30,45/24,7/6,-,-,-
2017,34/25,34/22,0/2,0/1,-,-
2016,42/24,40/22,2/2,-,-,-
2015,41/20,41/19,0/1,-,-,-
2014,48/23,47/22,1/1,-,-,-
2013,18/13,17/12,1/1,-,-,-
2012,7/9,7/8,0/1,-,-,-
2011,4/7,3/6,1/1,-,-,-
2010,3/6,3/6,-,-,-,-
2009,0/1,0/1,-,-,-,-
2008,0/4,0/4,-,-,-,-
