Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.08.,Neuchrist M.,2,,,,,,"['2', '0']","['3', '2']","['2', '1', '6', '3']",[],[],22.0
13.08.,Slump S.,1,,,,,,"['4', '5']",[],[],[],[],1.77
25.07.,Gentzsch T.,2,,,,,,"['4', '4', '7', '5']","['3', '1', '5', '1']",[],[],[],1.55
25.07.,Slump S.,0,,,,,,"['3', '2']",[],[],[],[],2.32
23.07.,Slump S.,2,,,,,,"['1', '0', '6', '3']","['2', '0']",[],[],[],1.26
23.07.,De Jonge D.,0,,,,,,[],[],[],[],[],3.54
15.07.,Dodig M.,2,,,,,,7,1,71%,77% (49/64),50% (13/26),0% (0/2),17% (8/46),56% (23/41),43% (3/7),69% (62/90),36% (31/87),53% (93/177),5,0,87% (13/15),21% (3/14),55% (16/29),[],"['1', '1', '6', '4']","['3', '1']",[],[],1.26
15.07.,Slump S.,1,,,,,,9,5,53%,83% (38/46),44% (18/41),57% (4/7),23% (15/64),50% (13/26),100% (2/2),64% (56/87),31% (28/90),47% (84/177),5,1,79% (11/14),13% (2/15),45% (13/29),"['5', '4']","['1', '0']",[],[],[],3.63
14.07.,Slump S.,2,,,,,,6,1,52%,80% (20/25),61% (14/23),67% (2/3),43% (18/42),67% (14/21),45% (5/11),71% (34/48),51% (32/63),59% (66/111),6,0,88% (7/8),56% (5/9),71% (12/17),"['2', '1', '6', '3']","['2', '2', '4', '2', '6', '2']",[],[],[],1.24
14.07.,De Lange P.,0,,,,,,3,4,67%,57% (24/42),33% (7/21),55% (6/11),20% (5/25),39% (9/23),33% (1/3),49% (31/63),29% (14/48),41% (45/111),4,3,44% (4/9),13% (1/8),29% (5/17),[],"['2', '1']",[],[],[],3.80
13.07.,Slump S.,2,,,,,,12,3,59%,93% (25/27),47% (9/19),25% (1/4),45% (19/42),77% (10/13),56% (5/9),62% (34/55),63% (29/46),62% (63/101),9,0,70% (7/10),63% (5/8),67% (12/18),"['5', '4']","['1', '0', '3', '0', '5', '2']",[],[],[],1.73
13.07.,Karlovskiy E.,0,,,,,,3,4,76%,55% (23/42),23% (3/13),44% (4/9),7% (2/27),53% (10/19),75% (3/4),37% (17/46),38% (21/55),38% (38/101),1,0,38% (3/8),30% (3/10),33% (6/18),[],"['1', '3']",[],[],[],2.01
09.07.,Nijboer R.,2,,,,,,"['7', '5']","['3', '1', '5', '1']",[],[],[],1.58
09.07.,Slump S.,0,,,,,,[],[],[],[],[],2.26
29.06.,Wenger D.,2,,,,,,"['2', '2']",[],"['3', '2', '5', '2', '6', '3']",[],[],1.75
29.06.,Slump S.,1,,,,,,"['2', '1', '6', '5']",[],"['3', '5']",[],[],2.01
28.06.,Slump S.,2,,,,,,"['5', '5']","['1', '1', '3', '1', '5', '1']","['1', '0', '3', '4', '5', '4']",[],[],1.58
28.06.,Gonzalez Fernandez M.,1,,,,,,"['2', '1', '6', '5']","['1', '0']","['1', '1', '4', '2', '5', '5']",[],[],2.26
27.06.,Slump S.,2,,,,,,"['4', '3', '6', '3']","['2', '0', '5', '1']",[],[],[],1.07
27.06.,Jamji A.,0,,,,,,[],[],[],[],[],6.75
26.06.,Slump S.,2,,,,,,[],"['3', '1']","['2', '1', '4', '1']",[],[],1.06
26.06.,Figl M.,1,,,,,,[],[],[],[],[],7.20
25.06.,Slump S.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0']",[],[],[],1.05
25.06.,Lahjomri Y.,0,,,,,,[],[],[],[],[],7.50
18.06.,Ahouda W.,2,,,,,,"['1', '0', '5', '2']","['2', '1', '5', '2']",[],[],[],3.46
18.06.,Slump S.,0,,,,,,[],[],[],[],[],1.27
11.06.,Lokoli L.,2,,,,,,"['2', '0']","['2', '1', '4', '1', '6', '1']","['2', '2', '5', '3']",[],[],1.34
11.06.,Slump S.,1,,,,,,"['2', '3', '4', '3', '6', '3']",[],"['2', '1']",[],[],3.04
10.06.,Slump S.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['3', '1']",[],[],[],1.26
10.06.,Jade D.,0,,,,,,[],[],[],[],[],3.72
11.05.,Marti Pujolras A.,2,,,,,,2,2,71%,66% (27/41),47% (8/17),67% (4/6),45% (13/29),73% (16/22),63% (5/8),60% (35/58),57% (29/51),59% (64/109),7,0,78% (7/9),63% (5/8),71% (12/17),"['2', '2', '4', '4', '6', '4']","['2', '0', '5', '1']",[],[],[],1.55
