Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,253/172,81/51,140/87,27/22,3/4,2/8
2024,8/4,7/2,1/2,-,-,-
2022,8/4,-,8/3,0/1,-,-
2021,20/18,3/4,12/8,2/3,3/3,-
2020,5/16,0/2,2/9,2/1,-,1/4
2019,45/18,22/6,14/8,9/4,-,-
2018,27/21,10/6,7/10,10/5,-,-
2017,19/28,1/7,16/13,1/3,0/1,1/4
2016,42/18,17/6,25/11,0/1,-,-
2015,20/21,1/4,17/14,2/3,-,-
2014,48/17,12/8,35/8,1/1,-,-
2013,5/2,2/1,3/1,-,-,-
2012,4/3,4/3,-,-,-,-
2011,2/2,2/2,-,-,-,-
