Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,95/73,14/15,53/42,28/16,-,-
2024,11/3,-,11/3,-,-,-
2023,20/11,-,19/10,1/1,-,-
2022,6/5,4/4,-,2/1,-,-
2021,12/7,2/2,2/1,8/4,-,-
2020,7/3,-,2/1,5/2,-,-
2019,21/22,8/7,8/12,5/3,-,-
2018,16/13,0/1,11/9,5/3,-,-
2017,0/4,0/1,0/3,-,-,-
2016,0/3,-,0/3,-,-,-
2015,2/2,-,-,2/2,-,-
