Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,448/351,375/267,68/77,-,0/2,5/5
2024,37/22,35/19,2/3,-,-,-
2023,25/32,21/28,4/4,-,-,-
2022,28/25,24/17,4/6,-,0/2,-
2021,27/26,26/21,1/5,-,-,-
2020,2/20,1/9,1/9,-,-,0/2
2019,42/28,40/24,2/4,-,-,-
2018,50/27,45/26,5/0,-,-,0/1
2017,39/25,27/21,9/2,-,-,3/2
2016,20/25,11/15,7/10,-,-,2/0
2015,19/26,15/18,4/8,-,-,-
2014,38/27,30/18,8/9,-,-,-
2013,61/23,55/18,6/5,-,-,-
2012,28/17,21/10,7/7,-,-,-
2011,29/22,22/18,7/4,-,-,-
2010,3/4,2/3,1/1,-,-,-
2009,0/1,0/1,-,-,-,-
2008,0/1,0/1,-,-,-,-
