Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,16/22,4/7,12/15,-,-,-
2024,2/4,0/2,2/2,-,-,-
2023,5/6,2/2,3/4,-,-,-
2022,2/5,-,2/5,-,-,-
2020,5/3,-,5/3,-,-,-
2019,2/4,2/3,0/1,-,-,-
