Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,14/19,12/13,2/6,-,-,-
2024,2/5,2/5,-,-,-,-
2023,5/7,3/3,2/4,-,-,-
2022,0/3,0/1,0/2,-,-,-
2021,7/4,7/4,-,-,-,-
