Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,78/37,41/18,12/14,0/2,-,25/3
2024,32/14,30/9,2/4,0/1,-,-
2023,29/13,5/7,5/3,0/1,-,19/2
2022,17/10,6/2,5/7,-,-,6/1
