Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
21.01.,Bertimon M.,2,,,,,,"['5', '3']","['1', '2', '4', '5']","['2', '0', '4', '0', '6', '0']",[],[],-
21.01.,Oumaouche R.,1,,,,,,[],"['2', '0', '5', '3']",[],[],[],-
11.12.2024,Pereira T.,2,,,,,,"['5', '3']","['1', '0', '4', '1', '6', '1']",[],[],[],1.22
11.12.2024,Oumaouche R.,0,,,,,,[],[],[],[],[],3.91
14.11.2024,Andaloro F.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '2', '5', '2']",[],[],[],1.31
14.11.2024,Oumaouche R.,0,,,,,,[],"['1', '1']",[],[],[],3.20
11.09.2024,Nagel A.,2,,,,,,[],"['1', '3', '3', '3', '5', '5', '7', '5']","['1', '1', '3', '1', '5', '3']",[],[],1.79
11.09.2024,Oumaouche R.,1,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '4', '3']","['1', '0', '2', '3']",[],[],1.93
28.08.2024,Moret J.,2,,,,,,"['3', '3', '6', '4']","['1', '1', '3', '5', '5', '5', '6', '6']",[],[],[],-
28.08.2024,Oumaouche R.,0,,,,,,"['1', '0']","['1', '0', '2', '1', '4', '1', '6', '5']",[],[],[],-
14.08.2024,Oumaouche R.,1,,,,,,"['1', '0', '3', '0', '4', '3', '6', '3']","['2', '4']",[],[],[],-
14.08.2024,Gschwendtner J.,1,,,,,,"['1', '3', '3', '3']","['1', '0', '3', '0']","['1', '0', '3', '0']",[],[],-
09.08.2024,Ferrari F.,2,,,,,,"['5', '3']","['3', '2', '5', '4']",[],[],[],-
09.08.2024,Oumaouche R.,0,,,,,,[],"['4', '4']",[],[],[],-
08.08.2024,Oumaouche R.,2,,,,,,"['3', '2', '6', '3']","['4', '2', '6', '2']",[],[],[],-
08.08.2024,Dhamne M.,0,,,,,,[],[],[],[],[],-
06.08.2024,Oumaouche R.,2,,,,,,"['2', '1', '4', '3', '6', '5']","['1', '0', '5', '2']",[],[],[],-
06.08.2024,Gima S.,0,,,,,,"['2', '2', '4', '4']",[],[],[],[],-
25.07.2024,Cina F.,2,,,,,,"['4', '3', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],-
25.07.2024,Oumaouche R.,0,,,,,,"['4', '4']",[],[],[],[],-
24.07.2024,Oumaouche R.,2,,,,,,"['4', '4', '6', '4']","['4', '4']","['3', '1', '4', '2', '7', '5']",[],[],-
24.07.2024,Catini N.,1,,,,,,"['3', '2']","['3', '2', '5', '4']","['2', '3', '3', '4']",[],[],-
12.12.2023,Sheyngezikht L.,2,,,,,,"['4', '3', '6', '5']","['1', '0', '4', '1', '5', '2']",[],[],[],-
12.12.2023,Oumaouche R.,0,,,,,,"['4', '4']","['2', '4', '3', '5']",[],[],[],-
30.11.2023,Martin Tiffon P.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '5', '2']",[],[],[],-
30.11.2023,Oumaouche R.,0,,,,,,[],"['1', '3']",[],[],[],-
29.11.2023,Oumaouche R.,2,,,,,,"['2', '0', '3', '1', '4', '2']",[],"['5', '4']",[],[],-
29.11.2023,Chirita I. A.,1,,,,,,"['1', '2', '2', '3']","['2', '0', '6', '2']",[],[],[],-
28.11.2023,Oumaouche R.,2,,,,,,"['2', '2', '4', '4', '5', '5']",[],"['4', '3', '5', '4']",[],[],-
28.11.2023,Pampanin P.,1,,,,,,"['2', '1', '3', '2', '5', '4']","['4', '2', '6', '2']","['4', '4']",[],[],-
13.08.2019,Obert A.,2,,,,,,"['2', '1', '4', '3', '6', '3']","['3', '3']","['5', '5', '6', '6']",[],[],-
13.08.2019,Oumaouche R.,1,,,,,,"['3', '3']","['2', '1', '6', '5']","['2', '1', '6', '5']",[],[],-
