Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,41/33,8/13,30/19,2/1,-,1/0
2024,17/6,3/3,14/3,-,-,-
2023,16/12,4/4,10/7,2/1,-,-
2022,7/11,1/6,5/5,-,-,1/0
2021,1/4,-,1/4,-,-,-
